"","Haemophilus_influenzae","Pseudomonas_aeruginosa","Haemophilus_aegyptius","Prevotella_jejuni","Leptotrichia_wadei","Proteus_mirabilis","Enterobacter_ludwigii","Haemophilus_parahaemolyticus","Klebsiella_pneumoniae","Streptococcus_oralis","Enterobacter_kobei","Haemophilus_haemolyticus","Actinomyces_oris","Klebsiella_oxytoca","Salmonella_enterica"
"SG0031",0,86.5718398103463,0,0.00846668360003387,0.00846668360003387,0,0,0.00846668360003387,3.91160782321565,0.0169333672000677,0,0,0,0,0.127000254000508
"CH0022",18,0,0,0,0,0,0,0,4,8,0,0,0,0,0
"TT0051",0,0,0,0,0,0,0,0,0,4.54545454545455,0,0,0,0,0
"TT0060",0.148483348653044,83.6314784699144,0,0.0353531782507247,0,0.0424238139008697,0.0141412713002899,0.219189705154493,3.52117655377218,0.289896061655943,0,0.120200806052464,0,0.0282825426005798,0.0282825426005798
"KL0011",0.564577960549244,0.0627308845054715,0,1.27552798494459,3.05987314421133,0,0,1.37310936084199,0.0697009827838573,4.32146093259915,0,1.8052554541019,0.230013243186729,0,0.0139401965567715
"TT0003",0.411919368974584,0.148992112182296,0,0.271691498685364,0.289219982471516,0,0,4.58369851007888,0.201577563540754,4.16301489921122,0,1.26205083260298,0.219106047326906,0,0.035056967572305
"AL0004",0,0,0,0,0,0,0,0,0,12.1951219512195,0,0,0,0,0
"TT0053",0.0449652924149172,0.328808700784082,0,0.00281033077593233,0.00843099232779698,0.0814995925020375,0,0,0.0140516538796616,0.00562066155186465,0,0,0.00562066155186465,0,0
"CH0038",2.85714285714286,0,0,0,0,0,0,0,7.14285714285714,8.57142857142857,0,0,0,0,0
"DU0089",0.464641885766092,0.056663644605621,0,0.0226654578422484,0.101994560290118,0,0,0.0113327289211242,0.0339981867633726,0.78195829555757,0,0.113327289211242,0,0,0.0113327289211242
"DU0002",95.1384761678355,0.0832045643646737,0.974682039700464,0.0118863663378105,0.0475454653512421,0,0,0.0475454653512421,0.0475454653512421,0.0594318316890527,0,1.3550457625104,0,0,0.0237727326756211
"DU0005",0.702556980638837,0.0408463360836533,0.00816926721673066,0.0898619393840373,0,0,0,0,0.024507801650192,2.33641042398497,0,0.0163385344334613,0,0,0.0735234049505759
"DU0064",38.5786130227634,16.2188988883007,0.304393859184754,0.092641609317099,0.80068819481207,0,0,0,0.668343038644786,1.11831656961355,0,0.588935944944415,0.165431445209105,0,0.0330862890418211
"DU0010",66.0623370172607,0,0.525684010099756,0.0124177325220415,0.753342439670516,0,0,0.480152324185604,0.0165569766960553,2.66153400389089,0,2.33039446996978,0.426342149923424,0,0.0331139533921106
"DU0013",0.410076157000586,2.40187463386057,0,0.175746924428822,0.117164616285882,0,0,0.820152314001172,1.05448154657293,0.761570005858231,0,0.351493848857645,0.70298769771529,0,0.117164616285882
"DU0038",27.8056741149887,0.0878734622144112,0.251067034898318,0.00627667587245795,0.0376600552347477,0,0,0.0627667587245795,0.0376600552347477,0.420537283454682,0,0.728094401205122,0.282450414260608,0,0.119256841576701
"DU0059",7.56437768240343,0.0268240343347639,0.150214592274678,0.0214592274678112,0.139484978540773,0,0,0.734978540772532,0.0107296137339056,6.99570815450644,0,0.402360515021459,1.45922746781116,0,0.00536480686695279
"DU0099",36.0362955494743,0.072014979115656,0.763358778625954,0.374477891401412,0.230447933170099,0,0,6.7838110326948,0.0144029958231312,2.41970329828604,0,1.67074751548322,0.273656920639493,0,0.0288059916462624
"DU0083",1.24688279301746,0,0,0,0,0,0,0,0.997506234413965,4.48877805486284,0,0,11.7206982543641,0,0
"DU0087",60.2910602910603,0.0328263486158223,0.454097822518875,0.372031950979319,5.06619980304191,0,0,0,0.0218842324105482,0.295437137542401,0,0.722179669548091,3.26622168727432,0,0.0656526972316446
"DU0058",0.109712437925857,0.0115486776764061,0,0.0923894214112484,0.265619586557339,0,0,0,0.0519690495438272,4.5848250375332,0,0.0692920660584363,21.0301420487354,0,0.0461947107056242
"DU0019",51.5404671952323,0.622572234342574,0.271377640610866,0,0.00532113020805619,0,0,0.00532113020805619,0.0372479114563933,7.74756558292981,0,0.606608843718406,0.0106422604161124,0,0.0212845208322248
"DU0012",7.85169029443839,37.6226826608506,0,0,0.436205016357688,0,0,1.52671755725191,4.36205016357688,0.654307524536532,0,0.436205016357688,1.09051254089422,0,0
"DU0017",14.0257771038666,0.173291454565147,0.032492147730965,0.0433228636412867,0,0,0,0.0216614318206433,0.0216614318206433,2.49106465937398,0,0.617350806888335,0.162460738654825,0,0.032492147730965
"TBS466",0.236779794790845,0,0,0.0789265982636148,1.10497237569061,0,0,0,0.368324125230203,0.263088660878716,0,0,0.236779794790845,0,0.15785319652723
"TBS556",1.16279069767442,1.16279069767442,0,0,0,0,0,0.581395348837209,2.32558139534884,1.74418604651163,0,0,1.74418604651163,0,0
"TBS516",13.6738578680203,0.00793147208121827,0.118972081218274,0.158629441624365,0.943845177664975,0,0,0.0158629441624365,0.0158629441624365,2.27633248730964,0,0.904187817258883,0.753489847715736,0,0.0951776649746193
"TTS1301",50,0.819672131147541,1.91256830601093,0,0,0,0,0,1.63934426229508,0.819672131147541,0,1.63934426229508,0,0,0
"TBS277",7.12203248646397,0.0832986255726781,0.208246563931695,0.0832986255726781,0,0,0,0,0.666389004581424,0.749687630154102,0,0.208246563931695,0,0,0.166597251145356
"TBS035",7.72861356932153,7.78761061946903,0.23598820058997,0.23598820058997,0.23598820058997,0,0,2.12389380530973,0.707964601769911,1.88790560471976,0,1.00294985250737,0.589970501474926,0,0
"TBS524",77.4647887323944,0.704225352112676,0.821596244131455,0,0,0,0,0,0.704225352112676,0.704225352112676,0,1.99530516431925,0,0,0
"TBS442",0.233605873519106,0.0500584014683798,0,0,0,0,0,0,0.10011680293676,5.60654096445854,0,0.0166861338227933,0,0.0166861338227933,0.116802936759553
"TBS664",0.151630022744503,0,0,0.0758150113722517,1.51630022744503,0,0,0,0.303260045489007,15.0871872630781,0,0.0758150113722517,0.379075056861259,0,0
"TBS469",80.5857189865087,0.131622244159263,0.822639025995393,0.0987166831194472,0.164527805199079,0,0,0,0.164527805199079,0.263244488318526,0,1.48075024679171,0.0658111220796315,0,0.0658111220796315
"TTS1194",0.121882617663604,0.00937558597412338,0,0.121882617663604,3.99399962497656,0,0,2.55015938496156,0.0562535158447403,2.27826739171198,0,0.121882617663604,1.6032252015751,0,0.0187511719482468
"TBS349",0.12583486593747,0.0290388152163392,0,0.0483980253605653,0.0193592101442261,0,0,0,0.0193592101442261,10.4346142677379,0,0.0580776304326783,0.319426967379731,0.00967960507211306,0.0387184202884522
"TBS160",0.111152278621712,94.4917870816352,0,0,0,0,0,0,4.38433987896752,0.0494010127207608,0,0,0,0.0247005063603804,0.0123502531801902
"TTS1189",0.269632625547691,0.0112346927311538,0,6.04426468936075,11.032468261993,0,0,0,0.0224693854623076,2.97719357375576,0,0.134816312773846,2.87608133917537,0,0
"TTS1170",6.70995670995671,0.432900432900433,0,0,0,0,0,0,0,0.216450216450216,0,0,0,0,0.432900432900433
"TTS1210",1.54716710837333,0.0214884320607406,0,0.694792636630614,4.11861614497529,0,0,0.300838048850369,0.0143256213738271,3.42382350834467,0,0.873862903803452,0.171907456485925,0,0.0143256213738271
"TTS1149",0.301402175337439,0.0524177696239025,0,0.982833180448172,1.04835539247805,0.0393133272179269,0.0131044424059756,0,0.760057659546586,0.235879963307561,0.0393133272179269,0.0262088848119513,0.327611060149391,0.563491023456952,0.825579871576464
"TTS1134",39.2641007020092,0,0.447833454369402,1.05301379811184,0.0605180343742435,0.0242072137496974,0,0,0.0242072137496974,8.01258775114984,0,0.702009198741225,0.0484144274993948,0,0.145243282498184
"TTS1118",0.280561122244489,0.0200400801603206,0,1.28256513026052,2.88577154308617,0,0,0.240480961923848,0.120240480961924,6.97394789579158,0,0,0.240480961923848,0,0
"TTS1120",0.0805369127516778,0.0805369127516778,0,0.894854586129754,8.55480984340045,0,0,0.0357941834451902,0.0268456375838926,2.96196868008949,0,0.214765100671141,0.572706935123042,0,0.0536912751677852
"TTS1203",0,2.9045643153527,0,0,0,0,0,2.4896265560166,0,0,0,0,1.6597510373444,0,0
"TTS1188",0.51685393258427,0,0,0.98876404494382,1.2247191011236,0,0,0.0224719101123595,0.0224719101123595,0.674157303370786,0,1.30337078651685,0.0449438202247191,0,0.0112359550561798
"DU0047",0.0323171388559733,93.4503931918561,0,0,0,0.107723796186578,0,0,4.50285468059894,0.0646342777119466,0,0,0,0.0323171388559733,0.107723796186578
"DU0076",0.279159033411847,0.0348948791764809,0,0.0174474395882404,0.0436185989706011,0,0,0.0348948791764809,0,7.79028177614935,0,0.0785134781470819,1.79708627758876,0,0.0610660385588415
"DU0034",0.560828300258844,10.2818521714121,0,0,0.0575208513085994,0.00719010641357492,0,2.60281852171412,0.42421627840092,3.05579522576934,0,0.94909404659189,0.186942766752948,0,0.0503307448950244
"DU0071",0.0401284109149278,0,0,0.321027287319422,0.0802568218298555,0,0,0.0401284109149278,4.17335473515249,5.41733547351525,0,0,0,0,0.160513643659711
"DU0077",0.147432222131215,0,0.0081906790072897,0.114669506102056,0.0573347530510279,0,0,0,0.0081906790072897,8.02686542714391,0,0.0245720370218691,0.0081906790072897,0,0.081906790072897
"DU0004",2.67234701781565,0.0516395558998193,0,0.32274722437387,0.0129098889749548,0,0,0,1.6008262328944,7.83630260779757,0,0.245287890524141,0.271107668474051,0,0.103279111799639
"TBS365",0.137779002480022,0.0895563516120143,0,0,0,0.0137779002480022,0.0344447506200055,0,1.14356572058418,0,0,0,0,0.068889501240011,0.475337558556076
"TBS425",0.0304259634888438,93.6612576064909,0,0,0,0,0,0,4.62474645030426,0.111561866125761,0,0,0,0,0.0101419878296146
"TBS011",1.26861867814465,5.82205357648525,0.0169904287251515,0.0226539049668687,0.033980857450303,0,0.0169904287251515,18.3949708330974,0.900492722433029,0.968454437333635,0.00566347624171717,2.69581469105737,0.152913858526363,0.243529478393838,0.152913858526363
"TTS1223",67.8046843985709,0.357284636760619,0.992457324335054,0,0.0793965859468043,0,0,0.0396982929734021,0.0793965859468043,0.436681222707424,0,2.22310440651052,0.238189757840413,0,0
"TBS387",0.0897144968072194,0,0,0,0,0.0105546466832023,0.0158319700248034,0,0.559396274209721,0.0474959100744103,0,0,0,0.226924903688849,0.411631220644889
"TBS596",0.0602513341366845,93.7424685832329,0,0.0172146668961956,0,0,0,0,3.70115338268205,0.0258220003442933,0,0,0.00860733344809778,0.00860733344809778,0
"TTS1204",0.0542505289426572,0.0488254760483915,0,0.743232246514404,4.15016546411328,0,0,0,0.0217002115770629,1.04161015569902,0,0.00542505289426572,1.74686703195356,0.00542505289426572,0.0325503173655943
"TBS480",0.152858453072455,0,0,0,0,0,0.137572607765209,0,43.3812289819627,0.703148884133293,0.0152858453072455,0,0,0.336288596759401,0.687863038826047
"TBS150",1.88205771643664,4.39146800501882,0,0,0,0,0,1.00376411543287,0,2.50941028858218,0,0,0.250941028858218,0,0.501882057716437
"TBS165",0.0333259275716507,0,0,0.46656298600311,0.122195067762719,0,0,0.00555432126194179,0.15552099533437,2.19395689846701,0,0.0222172850477672,0.31104199066874,0,0.0111086425238836
"TTS1214",0.501631814335791,0,0,0.108787622386075,1.51698295660583,0,0,0,0.0483500543938112,4.71413030339659,0,0.0725250815907168,0.525806841532697,0,0.0362625407953584
"TTS1146",6.45161290322581,0,0,0,0,0,0,0,8.06451612903226,0,0,0,0,0,4.83870967741935
"TTS1200",0.429184549356223,0.546234880998829,0,0.156067108856808,0,0,0,0,0.195083886071011,0.468201326570425,0,0,0,0,0
"TTS1111",0.911161731207289,8.76450808113678,0,0.0325414904002603,0.0650829808005207,0,0,3.80735437683046,0.542358173337672,3.73142423256318,0,1.41013125067795,0.368803557869617,0,0.0216943269335069
"TTS1115",17.6243093922652,0,0.441988950276243,1.10497237569061,3.53591160220995,0.110497237569061,0,0,0,1.87845303867403,0,0.331491712707182,0,0,0.110497237569061
