,Class_average Accuracy,n_estimators,max_depth,min_samples_split,min_samples_leaf,training_Acc
141,0.6146690518783542,150,6,9,3,0.9671224827733563
142,0.6417412045319022,150,6,10,3,0.9634634901981732
143,0.6186046511627907,150,6,11,3,0.9597777896479889
144,0.607036374478235,150,6,6,4,0.9654665883232733
145,0.5992844364937389,150,6,7,4,0.96560012819828
146,0.6146690518783542,150,6,8,4,0.965359756423268
147,0.6069767441860465,150,6,9,4,0.9613268521980664
148,0.606917113893858,150,6,10,4,0.959537417872977
149,0.6261776982707216,150,6,11,4,0.9553442657977672
150,0.6031007751937985,150,6,6,5,0.9551306019977566
151,0.6146690518783542,150,6,7,5,0.9555045136477752
152,0.6032200357781754,150,6,8,5,0.9556380535227819
153,0.5915921288014312,150,6,9,5,0.9549970621227498
154,0.5800834824090638,150,6,10,5,0.9542759467977138
155,0.5954680977936793,150,6,11,5,0.9523796805726189
156,0.6031007751937985,150,6,6,6,0.9421238181721061
157,0.606917113893858,150,6,7,6,0.9430853052721543
158,0.5914728682170542,150,6,8,6,0.9433790929971689
159,0.6146094215861657,150,6,9,6,0.9414294108220715
160,0.6223613595706619,150,6,10,6,0.9441536242722077
161,0.5992248062015504,150,6,11,6,0.942577853747129
162,0.5992844364937389,150,6,6,7,0.9291170343464559
163,0.6146094215861657,150,6,7,7,0.9296511938464825
164,0.6415623136553369,150,6,8,7,0.9290369104214516
165,0.6223613595706619,150,6,9,7,0.9287965386464397
166,0.6146690518783542,150,6,10,7,0.9290636183964529
167,0.6223017292784735,150,6,11,7,0.9295443619464769
168,0.6029815146094216,150,6,6,8,0.9148015597457398
169,0.6031007751937985,150,6,7,8,0.9140537364457025
170,0.649314251639833,150,6,8,8,0.9139469045456972
171,0.6146094215861657,150,6,9,8,0.9139201965706958
172,0.606917113893858,150,6,10,8,0.9150419315207521
173,0.6300536672629696,150,6,11,8,0.9144543560707226
174,0.6145497912939774,150,6,6,9,0.9025425992201271
175,0.6146094215861657,150,6,7,9,0.9010469526200522
176,0.6261180679785331,150,6,8,9,0.9008065808450402
177,0.5914132379248659,150,6,9,9,0.9019817317450989
178,0.6261776982707216,150,6,10,9,0.9016345280700816
179,0.6184853905784138,150,6,11,9,0.9008065808450402
180,0.6029815146094216,150,6,6,10,0.8891351957694565
181,0.6183661299940371,150,6,7,10,0.889883019069494
182,0.6261180679785331,150,6,8,10,0.8907109662945354
183,0.6029218843172331,150,6,9,10,0.8891886117194592
184,0.5990459153249851,150,6,10,10,0.8895358153944766
185,0.6145497912939774,150,6,11,10,0.8901233908445059
186,0.6259988073941563,150,6,6,11,0.8787992094439397
187,0.5913536076326774,150,6,7,11,0.8802681480690132
188,0.6260584376863447,150,6,8,11,0.8805619357940279
189,0.595289206917114,150,6,9,11,0.8796271566689812
190,0.6029815146094216,150,6,10,11,0.879226537043961
