,params,mean_train_Acc,mean_test_Acc
65,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.15375510204081633, 'n_estimators': 150}",0.925043542688109,0.5468805545680767
66,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.16393877551020408, 'n_estimators': 150}",0.9054385770188362,0.5634815538965913
67,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.17412244897959184, 'n_estimators': 150}",0.8999312904273024,0.5709761227633605
68,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.1843061224489796, 'n_estimators': 150}",0.8922651746604887,0.5645929612513331
69,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.19448979591836735, 'n_estimators': 150}",0.8794371283404184,0.5579902832089109
70,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.2046734693877551, 'n_estimators': 150}",0.8715770919758955,0.5577280088478097
71,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.21485714285714286, 'n_estimators': 150}",0.8520109491345782,0.562210076233361
72,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.2250408163265306, 'n_estimators': 150}",0.8508221025469281,0.5612752300825531
73,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.23522448979591837, 'n_estimators': 150}",0.8422832339532239,0.5609550894655764
74,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.24540816326530612, 'n_estimators': 150}",0.8287005168535576,0.5755045029031876
75,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.2555918367346939, 'n_estimators': 150}",0.826672947694882,0.5702250464115022
76,"{'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 0.011183673469387756, 'min_samples_split': 0.26577551020408163, 'n_estimators': 150}",0.8177794137963629,0.5747834459059129
